Code Station,N° article,mean,std,CV,Segment
ST0076,A0002,12833.333333333334,6410.010553354623,0.4994813418198407,Modere
ST0077,A0001,5000.0,0.0,0.0,Stable
ST0078,A0001,16000.0,9409.859432821224,0.5881162145513265,Erratique
ST0078,A0002,28089.285714285714,18039.629895129412,0.6422245862220262,Erratique
ST0079,A0001,6071.428571428572,5339.777852423031,0.8794928227520286,Erratique
ST0079,A0002,25809.52380952381,23417.981516439406,0.9073387672421173,Erratique
ST0080,A0001,18720.0,7626.591503363981,0.40740339227371697,Modere
ST0080,A0002,11940.0,5486.1978953496355,0.45948056074955074,Modere
ST0081,A0001,14483.870967741936,4559.758529731851,0.3148162904714641,Stable
ST0081,A0002,24972.222222222223,13096.315972955603,0.5244353448569541,Modere
ST0082,A0001,36181.818181818184,9714.09472692316,0.2684800050154642,Stable
ST0082,A0002,33700.0,9117.138927438926,0.2705382471050126,Stable
ST0083,A0001,27920.0,16839.991274417243,0.603151549943311,Erratique
ST0083,A0002,31980.0,21514.57977412394,0.67275108737098,Erratique
ST0084,A0001,154161.29032258064,26199.35975578226,0.16994771969643233,Stable
ST0084,A0002,51322.58064516129,11049.546285629991,0.21529599928003126,Stable
ST0085,A0001,13192.982456140351,8337.605421246619,0.631972751344491,Erratique
ST0085,A0002,14263.157894736842,5521.148676386729,0.38709160461751974,Modere
ST0086,A0001,6666.666666666667,2886.751345948129,0.4330127018922193,Modere
ST0086,A0002,14000.0,7416.198487095663,0.5297284633639759,Modere
ST0087,A0001,29107.14285714286,17533.75429514568,0.6023866506307719,Erratique
ST0087,A0002,13125.0,7502.535803197534,0.5716217754817169,Modere
ST0089,A0001,5000.0,0.0,0.0,Stable
ST0089,A0002,7500.0,3535.5339059327375,0.4714045207910317,Modere
ST0090,A0002,10000.0,,,Erratique
ST0091,A0001,8694.444444444445,9835.270188588602,1.1312131846299989,Erratique
ST0091,A0002,22000.0,9587.938851941613,0.43581540236098243,Modere
ST0092,A0001,5157.894736842105,1641.9215671732127,0.3183317324111331,Stable
ST0092,A0002,35418.604651162794,26776.173273070624,0.755991760172053,Erratique
ST0093,A0001,46655.1724137931,29554.322107483877,0.6334629276548651,Erratique
ST0093,A0002,20377.35849056604,13091.727298468852,0.6424643952026381,Erratique
ST0094,A0002,81600.0,38463.10604092953,0.4713615936388423,Modere
ST0095,A0001,32000.0,8246.211251235321,0.2576941016011038,Stable
ST0095,A0002,10000.0,7071.067811865475,0.7071067811865475,Erratique
