Station,Produit,N_commandes,Total_litres,Moyenne_mensuelle,Fréquence_jours,ADF_pvalue,Stationnaire,AIC,Modele_AR,Modele_I,Modele_MA,Modele_SAR,Modele_SI,Modele_SMA,Volume,Profil
ST0056,A0001,114,1064000,33250.0,8.548672566371682,0.8519578926907285,False,686.3339289960654,0,1,0,0,0,0,Moyen,Standard
ST0056,A0002,101,825000,25781.25,9.66,5.393986072826053e-09,True,654.2822946773128,0,0,0,0,0,0,Faible,Standard
ST0057,A0001,97,1298000,25450.980392156864,15.84375,0.009893274538361656,True,1152.1491521763908,1,0,0,0,0,1,Moyen,Standard
ST0057,A0002,165,3799000,73057.69230769231,9.378048780487806,0.00012575788845406652,True,1256.898839629719,1,0,0,0,0,1,Moyen,Standard
ST0058,A0001,41,255000,7968.75,23.9,0.005921523270771046,True,645.0115975641006,1,0,0,0,0,0,Très faible,Basse activité
ST0058,A0002,76,478000,14937.5,12.826666666666666,0.04094559227268942,True,414.66500591877127,1,1,0,1,1,0,Très faible,Basse activité
ST0059,A0001,457,2675000,38768.115942028984,4.565789473684211,0.36570733968803254,False,1506.4492544571874,2,1,1,0,0,0,Moyen,Standard
ST0059,A0002,292,1406000,20376.8115942029,7.120274914089347,0.00026355304354688195,True,1459.198681373453,0,1,1,0,0,0,Moyen,Standard
ST0060,A0002,39,1213000,43321.42857142857,21.42105263157895,0.0626899353657569,False,635.2440793220798,0,1,0,0,0,0,Moyen,Standard
ST0061,A0001,76,656000,31238.095238095237,8.04,0.0009021678980288567,True,447.42239838392805,0,0,0,0,0,0,Faible,Standard
ST0061,A0002,73,580000,27619.04761904762,8.458333333333334,0.25640350297712833,False,188.37866743685794,1,0,0,0,1,0,Faible,Standard
ST0062,A0001,123,890000,22820.51282051282,9.680327868852459,0.13909439810897445,False,835.3143915773541,1,0,0,0,0,0,Faible,Standard
ST0062,A0002,75,460000,11794.871794871795,15.878378378378379,0.024998741748370454,True,776.6649125292831,1,0,0,0,0,0,Très faible,Basse activité
ST0063,A0002,27,257000,25700.0,10.653846153846153,3.786409560921297e-28,True,inf,1,0,1,1,0,0,Très faible,Basse activité
ST0064,A0001,98,690000,23793.103448275862,8.845360824742269,0.24085169669321882,False,596.8881199772594,0,0,0,0,0,0,Faible,Standard
ST0064,A0002,100,645000,22241.379310344826,8.666666666666666,0.027810829601708484,True,603.1301661918714,0,0,0,0,0,0,Faible,Standard
ST0065,A0001,117,453000,15100.0,7.577586206896552,0.007786879762865015,True,599.631129892007,0,0,0,0,0,0,Très faible,Basse activité
ST0065,A0002,67,228000,8142.857142857143,12.469696969696969,0.520556160218898,False,514.1776690440408,0,0,0,0,0,1,Très faible,Basse activité
ST0066,A0001,399,3377000,80404.76190476191,3.201005025125628,0.07344185814924119,False,905.7750303985453,1,1,0,1,0,0,Moyen,Standard
ST0066,A0002,356,2812000,66952.38095238095,3.5887323943661973,0.0025352051871713054,True,913.867944187419,1,1,1,0,0,0,Moyen,Standard
ST0067,A0001,280,2922000,53127.27272727273,5.913978494623656,3.9570078752939223e-07,True,1223.651177068618,1,0,0,0,0,0,Moyen,Standard
ST0067,A0002,188,1572500,28590.909090909092,8.796791443850267,0.0002869543616050387,True,1207.606177300198,1,0,0,0,0,0,Moyen,Standard
ST0068,A0001,226,2961000,50186.4406779661,7.911111111111111,0.00015191483726873878,True,1321.2890471257106,1,0,0,0,0,0,Moyen,Standard
ST0068,A0002,195,1694000,28711.86440677966,9.175257731958762,4.278817962989808e-11,True,1297.8161244682296,0,0,0,0,0,0,Moyen,Standard
ST0069,A0001,100,614000,21172.41379310345,8.767676767676768,0.12969796038153403,False,605.5529019986437,0,0,0,0,0,0,Faible,Standard
ST0069,A0002,93,612000,21103.44827586207,9.402173913043478,0.03052138825320011,True,602.4452748965396,0,1,0,0,0,0,Faible,Standard
ST0070,A0001,89,782000,39100.0,6.875,0.002241809293735919,True,170.9745607077615,0,0,0,0,1,0,Faible,Standard
ST0070,A0002,103,1008000,50400.0,5.931372549019608,0.002224918902669082,True,160.655951392287,0,0,0,0,1,0,Moyen,Standard
ST0072,A0001,36,197000,4925.0,34.08571428571429,2.1982527483162714e-06,True,784.55016651042,0,0,0,0,0,1,Très faible,Basse activité
ST0072,A0002,64,424000,10600.0,19.015873015873016,4.308654653012753e-05,True,852.0481089796807,1,0,0,0,0,0,Très faible,Basse activité
ST0073,A0001,405,3340000,60727.27272727273,4.106435643564357,0.07103204449423342,False,1243.4528974906043,1,0,0,0,0,0,Moyen,Standard
ST0073,A0002,186,1418000,25781.81818181818,8.935135135135136,0.0014276349923011506,True,1202.5524368700928,1,0,0,0,0,0,Moyen,Standard
ST0074,A0001,336,2416000,52521.739130434784,4.119402985074627,0.0006900673988771033,True,1042.4272719091587,0,0,1,0,0,0,Moyen,Standard
ST0074,A0002,511,3955000,85978.26086956522,2.6980392156862747,1.5601456259433882e-05,True,1086.8722032360404,0,0,1,0,0,1,Moyen,Standard
ST0075,A0001,96,633000,17108.108108108107,11.557894736842105,0.16596547598955275,False,806.596179525146,1,0,0,0,0,1,Faible,Standard
